,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
beaver,0,86,13,27,134,14,4,19,4,2,103,1006,3,807,119,107,257,24,10,35,0,603,95,56,1706,0,0,705,3800,156,208,334,53,2621,304,6,12,303,203,0,16,38,2050,10,0,3,42,178,5,56,1861,105
become,1,25979,1635,157,9212,1101,96,225,1152,5685,1279,128763,26,23931,140,1234,2464,280,328,577,1572,7526,871,155510,14789,4,158,5333,61423,1863,24667,67254,2276,12731,500000,27,9028,10003,25004,489,732,1681,59407,256,183,863,4525,1199,190,40716,18515,3170
bed,0,12932,1641,2018,78040,14082,135,2217,170,1093,37164,97299,249,334401,3764,5264,67365,4127,897,8791,202,99183,8294,9053,314522,1,206,28246,320466,9996,25328,169392,3953,122747,21090,3827,792,9684,9601,1297,150,1978,230978,38796,325,1214,9431,9092,490,2608,718571,46541
beef,0,3734,87,160,1956,4611,70,367,179,74,975,10060,463,13181,281,1905,3660,472,74,17472,83,2934,669,985,29461,0,11,19945,55611,4442,12735,4601,704,24327,1969,226,27,3457,4867,43,454,427,27470,453,37,227,493,90571,20,178,286869,1782
believe,0,75219,842,306,28805,2324,73,1086,626,207,10398,96302,333,85835,423,3217,9478,530,321,1977,2020,30854,1043,46768,146882,12,84,30580,7783583,3270,8220207,12134,1283,61482,128641,475,1825,5918,7905,816,335,4934,290831,528,70,415,4594,3703,544,1056,70654,26609
belong,0,53,718,68,995,106,176,133,1653,27,1299,10139,16,29149,51,1152,774,2056,280,426,30,1670,837,835,2116,0,2,730,966858,6975,994,242,171,312584,213,94,3,1658,2713,34,44,76,1234295,30189,10,33,3554,2026,12,214,33580,561
belt,0,1712,972,1675,10761,5665,106,1605,158,109,19369,31534,205,43117,2004,14600,22102,1332,705,2730,200,11350,2495,3252,84230,3,89,36875,134654,5135,18680,61695,22760,88585,6082,855,277,21329,7198,312,350,3700,101017,673,119,354,6602,6202,132,797,65602,5696
bend,0,750,131,186,1644,469,105,444,18,76,9074,7488,26,29312,1313,9399,3153,339,132,618,222,2264,48890,1371,10220,3,7891,5103,62354,4439,96866,11354,521,21290,5133,134,287,4477,428766,585,176,845,105711,276,1439,3624,3553,4676,166,986,9332,2836
bid,0,585,850,63,1814,13112,94,127,74,12,875,50919,16,16069,526,747,1969,66,1018,438,64,6612,1475,996,126559,6,52,9519,24032,1532,5567,15760,555,222055,1497,74,132,3574,3387,123,403,458,94693,366,27,137,713,14621,277,547,7610,1224
big,0,16193,426,1156,12113,5516,124,597,2794,275,16338,818830,502,70751,2367,25674,17859,2561,235,4234,451,24012,12149,13384,638523,20,1856,20122,409591,172762,165163,1872806,10052,652163,922832,314,63812,10902,18752,577,35851,2365,467951,611,63,432,2472,51177,75,173767,81007,13065
bill,0,8486,696,603,22115,2585,385,1897,476,195,2683,63372,405,49787,1696,8832,20404,902,450,2208,336,33728,12787,10136,374539,84,1571,70676,187237,16975,24783,454322,5166,84876,4074,1450,168,14891,10335,696,44,18335,278934,1362,149,510,5674,11116,547,963,73068,13747
bind,0,369,37,49,682,428,6,45,12,5,306,4039,10,3128,95,360,714,48,28,560,15,1877,452,386,13574,1,152,1463,7582,921,45723,2340,6121,22321,3281,334,51,240,974,19,12,242,73369,5280,4,14,231,8374,225,62,14596,595
bitch,0,978861,272,949,12893,1331,48,519,324,556,6485,25826,156,116437,2404,9241,7885,4038,123,343,98,15987,14319,9231,135565,2,26,25658,166672,6952,22360,84954,10079,85926,2933,274,1466,48377,14270,96,117,2128,421383,960,346,2204,1649,37101,93,2929,64342,6280
bite,0,969,112,119,4479,660,37,305,74,41,900,12139,46,41234,1290,17085,5983,533,108,468,39,6420,37199,2395,19467,0,55,26721,38129,63557,70547,189355,46037,72562,5902,1751,384,73913,1495,88,16,20118,76230,442,39,152,557,917,149,343,14204,4016
black,0,3018,829,735,16198,4290,100,1324,270,419,8259,114714,410,43243,1820,8057,13618,1846,626,1579,419,26940,2231,7823,135551,1,130,40893,197674,4864,35174,23386,5255,247262,244073,508,862,349215,11262,498,1735,1885,166276,1941,121,470,5359,5897,468,1263,187156,8679
blank,0,2485,136,75,3714,1225,20,89,12,146,213,11133,199,8706,294,1538,1869,262,144,603,88,3414,330,1086,27488,1,24,4985,28210,2734,6547,3932,663,35494,11925,90,232,24816,717,92,2038,346,19433,60,11,67,455,463,86,177,25231,1650
blare,0,47,3,57,14,3,1,7,0,0,26,219,0,362,24,14,22,20,1,2,3,14,25,13,155,9,1,262,645,92,1522,760,28,339,21,1,2,1228,178,22,0,255,64,1,1,1,1,58,0,1,57,3
blast,0,1627,180,859,3932,1640,281,697,54,932,2935,19278,97,56152,18107,3272,3296,421,51,363,53,6823,3899,4846,47288,73,650,101265,60390,7402,57341,82173,50344,44476,4331,599,1506,17450,4507,3491,172,45334,199173,3365,116,613,408,3941,370,293,132466,3466
blaze,0,485,68,259,621,162,268,107,24,1,383,2370,8,2534,1403,279,1295,74,17,50,12,1255,688,260,4262,109,107,1407,8983,472,65956,51687,275,8191,2678,33,12,955,445,1443,15,14365,4663,441,14,33,158,7787,46,51,6221,341
bleed,0,496,50,490,5079,309,9,391,30,20,1183,8054,36,10408,1612,1123,2034,81,45,1251,62,3723,1987,1937,32681,9,15,29791,19315,39004,14830,3195,13363,34019,932,2363,24,138379,20312,173,277,28870,46301,4666,19,102,711,906,187,448,8871,1205
bleep,0,260,0,3,44,4,0,3,0,0,9,116,0,216,38,26,40,1,0,3,0,24,40,13,271,0,4,140,538,24,2634,216,164,589,70,1,0,5469,137,2,0,10,245,14,0,1,2,143,1,4,107,8
blend,0,362,112,190,804,79,14,229,99,9,560,6689,6,4479,1479,1748,937,31,37,13786,22,1743,1318,489,14320,0,22,9278,272941,64318,82898,287427,257,6994,1202,187,40,18643,1666,66,6,372,12369,54085,72,211,218,6748,13,219,48283,1076
bliss,0,304,23,22,2217,58,47,53,65,10,114,4570,5,2294,128,277,978,50,6,96,788,2702,69,314,11181,0,0,2139,11801,271,951,14712,228,3891,424,20,11,1543,539,5,4,388,8111,271,7,26,84,131,100,53,3989,713
block,0,7476,24532,1369,19886,12534,1840,1595,217,2159,5742,55157,552,52888,116759,5798,20537,11443,5070,6156,277,45740,17869,6997,164949,1,738,118059,198402,12722,286790,476339,82973,147623,22406,1278,707,206946,19987,1072,214,3928,171791,2576,403,1599,8065,23876,438,1192,134399,14778
blot,0,63,4,7,350,36,0,7,2,0,104,336,1,4874,373,15,185,4,4,47,0,109,100,24,1486,0,1,235,900,33,4483,1313,925,4299,56,26,4,22656,129,0,0,55,871,5,3,11,41,490,120,7,2213,45
blow,2,1807,522,2931,6964,13536,78,333,37,5579,4673,13076,147,25128,66156,32853,5300,291,613,666,57,42631,7883,2604,50611,22,382,23094,69626,36796,445942,32846,162820,109771,9324,1635,7137,254181,113101,23564,46,115794,237841,365,309,1517,1713,1348027,638,2066,27383,2269
blurt,0,92,0,1,5,1,0,1,0,0,7,26,0,57,5,33,12,0,0,2,0,9,3,0,16,1,0,30,125,26,11494,237,12,66,50,3,0,54815,13,3,0,4,69,1,0,0,2,3,0,0,25,26
board,0,19197,2357,2550,26219,10876,509,3515,466,1241,8771,101702,629,98029,2953,12944,34687,5842,877,3692,410,35580,9404,9920,384063,1,675,61136,220587,18647,47279,478432,7617,123016,7573,1697,750,26992,17916,547,224,6334,314923,3490,271,942,8463,26643,388,1708,882455,23318
bob,0,1957,161,164,1606,265,21,628,42,41,2343,8430,65,7019,266,2337,1441,238,54,145,9,1878,2700,1279,16086,0,128,19119,23968,1458,2763,3747,1020,11127,1110,61,175,2514,2459,42,70,422,22959,226,25,73,303,6325,21,254,10808,793
bog,0,74,8,11,241,85,6,16,2,1,104,734,7,942,13,76,260,67,19,31,2,317,36913,77,2270,0,0,530,2946,106,4245,3959,1128,1217,253,7,10,384,151,4,18,75,1646,13,1,10,72,419,2,71,1455,135
boil,0,1326,75,28,1251,61,33,121,10,10,418,3877,9,8613,5597,405,2648,40,96,216,40,677,233483,779,28375,81,1,1451,19343,1357,126503,2270,19826,11232,1185,22,25,3599,30260,31,3,213,12694,360,8,48,509,7886,77,105,9667,768
bolster,0,57,9,6,33,125,2,17,2,0,21,254,4,228,14,42,46,26,3,46,4,148,87,50,800,0,5,186,717,53,4266,294,45,705,861,32,4,108,38,5,9,50,1425,8,3,9,219,2160,3,1,548,36
bomb,0,3759,476,634,8240,3969,198,566,161,124,3899,28538,104,42424,3104,4462,9056,1682,216,640,257,11671,12122,3032,41691,0,4251,27198,151961,15757,39776,26457,7010,133734,5614,3132,196,18826,5514,416,236,4237,99089,589,144,739,5361,5551,295,525,38495,5566
bone,0,1169,757,225,3586,978,14,485,90,336,2408,10195,54,10983,1345,3716,4022,1207,647,1230,45,13801,3495,991,23906,1,86,14483,160124,3954,6261,41460,2199,26020,2295,193,128,8560,2124,57,35,2424,99979,583,82,318,1674,13317,131,192,22143,2096
book,1,520907,2703,6051,47353,4254,8090,6015,1378,1736,11038,209615,2566,191866,9120,22740,75784,2956,1243,3493,1741,297360,38086,19767,488094,12,303,167701,580567,31223,238879,1325370,19279,637084,68017,2443,8052,87400,23200,987,545,23027,535487,9413,296,884,11133,28461,1399,4813,281557,36808
boot,0,957,338,253,9818,618,34,478,52,63,1268,14614,74,18375,320,11090,4781,248,80,1612,87,5003,2779,2357,36691,5,89,124745,67026,130464,81544,33714,27104,55937,2827,979,481,10444,3014,1574,42,2335,114006,166,24,85,1059,239515,253,253,58655,12422
border,0,1301,322,820,4350,2544,86,2479,116,76,30317,23684,84,19532,741,2769,5196,304,152,79432,200,11865,2908,2235,45007,0,30,30750,90920,30180,9884,163006,869,69657,1869,330,3265,1200,2574,108,240,2302,118808,413,71,533,2034,2315,244,194,161385,14515
bore,0,271,21,45,877,273,79,50,12,6,100,1733,15,2231,120,155,449,54,16,87,42,945,2912,388,4982,15,21,1619,4504,5794,4597,8260,5244,5018,474,39,70,5518,464,29,98,2710,9908,20,42,143,279,1013,107,40,6196,463
boss,0,50112,1396,544,26280,1612,695,1098,295,304,14872,54413,852,113636,2456,4770,31208,2042,652,929,223,20363,16278,12187,133895,1,50,49046,338199,8346,20388,239107,6117,84751,9561,310,270,9395,13891,531,2700,2789,210458,1843,130,649,2368,6676,244,1338,128035,23229
botch,0,704,2,0,158,66,0,6,3,2,21,327,56,649,37,22,59,5,1,22,2,535,22,140,317,0,1,410,1138,119,10505,1213,34,1006,335,7,7,60,31,1,2,15,570,65,6,16,5,1665,1,27,460,19
bottle,0,3118,607,1342,13531,2414,123,1248,127,119,9158,29547,478,69666,6028,10347,19643,2090,276,2656,61,11765,12144,2719,103581,4,117,46769,152068,17841,74177,1828553,7888,70798,3928,2392,3921,17784,15287,226,133,3147,113938,503,157,715,4680,47403,216,499,138715,12168
bottom,0,4948,758,425,10307,1779,68,1810,553,189,2446,38847,129,22708,514,4254,18558,735,1776,2341,70,14581,3012,3476,107410,21,247,13851,85101,3368,39428,3978850,12581,45100,105762,558,1715,79542,3776,305,2647,1961,192193,1335,251,1060,6390,93967,112,569,88419,7182
bounce,0,1260,348,1382,4361,2274,92,1589,89,124,97619,10167,27,11442,4979,399042,3566,363,139,33956,53,2397,4096,1358,10297,9,615,24409,27986,7605,39095,17245,173288,44744,2642,1104,131,17458,5383,450,150,2677,36776,185,212,863,465,24769,170,465,8227,1219
bow,0,592,373,959,4207,2011,57,533,67,75,3695,21347,185,23856,1307,6452,54364,479,137,448,68,4355,153568,1749,50173,0,656,18474,62018,3537,6501,41859,2115,56977,1759,457,79,81423,3573,106,77,778,224894,322,317,1355,1220,4056,247,266,49385,4038
bowl,0,2298,730,536,20291,13142,209,1146,76,78,3559,27491,449,37126,3049,4485,22968,1094,453,3235,54,11251,5543,2980,79783,1,76,19562,127001,6281,11753,630990,4160,52954,4945,1166,248,16473,13982,250,215,2217,75988,2540,110,418,3339,5523,160,407,146637,10797
box,0,12064,11455,2583,29556,10147,380,10749,434,1537,34543,108076,866,141180,7856,15333,38601,10370,8739,4133,310,36602,11726,10058,454962,2,374,104523,386581,19809,98363,1145707,16447,270039,23451,2500,9126,64673,22697,312,331,5756,563533,5049,355,1296,29727,31778,1049,2428,506513,30715
brace,0,111,73,261,1374,7505,7,127,4,4,665,3034,10,3677,93,413,1323,228,44,509,7,721,203,223,65619,1,28,3400,6752,466,5995,6635,1720,18687,369,100,24,486,499,31,12,337,10055,34,4,26,677,956,29,27,4158,459
branch,0,1913,1462,665,3020,449,106,482,90,165,808,13427,124,11330,2695,2300,3689,617,400,870,252,5381,2208,1210,28011,11,53,18847,60481,20021,6183,491936,54248,25422,824,780,436,265818,2998,104,10,1550,74104,265,132,469,2095,2036,140,247,19898,2158
brave,0,5502,56,19,1063,512,18,46,139,15,351,27214,12,4225,36,366,756,1165,16,17,339,3705,210,1102,50595,1,55,2113,16319,349,7231,52815,182,6639,12743,23,118,638,721,41,23,1730,59882,196,9,52,144,911,16,777,6465,892
break,0,9429,3440,969,115378,4719,749,2777,167,75894,9260,63928,253,148420,142326,10872,69559,794,2410,75504,1009,24281,1264020,377151,366537,720,712,1062151,685599,570579,1674882,75517,188807,173659,65545,1568,36666,852540,19355,11191,350,299051,223901,2422,419,1557,15014,2472359,2743,3401,139779,15352
breathe,0,582,317,49,5139,306,10,215,76,10,1603,11065,5,14366,1984,765,4357,102,39,1931,36,5466,3340,1637,31226,30,13,9389,138430,9727,27312,13955,547,28967,695,163,55,51163,931,154,4,60232,7857,396,29,125,5275,1081,246,380,15292,10138
breed,0,452,170,177,1522,256,68,161,606,1098,1178,17803,114,8669,684,1099,4064,71,55,2243,216,5857,1229,2077,63258,24,31,8926,42929,3350,60424,206417,855,8355,40505,371,36,13274,1827,111,43,880,29156,2988,64,199,596,6275,141,374,78020,3260
breeze,0,1098,147,754,2752,796,19,278,26,19,910,6218,40,3706,665,355,643,281,45,625,11,5762,548,1129,17357,1,7,7006,15890,1012,1774,9040,1343,14533,319,41,111,897,3262,5124,98,66366,33007,89,20,102,323,1061,232,376,13762,746
brew,0,964,98,58,1347,262,54,127,53,11,1251,5530,10,12046,301,458,1942,52,67,365,37,3314,693,460,16637,3,6,5305,24742,1865,29124,8215,497,10357,2680,72,47,1609,1475,40,46,566,10783,554,6,32,375,11134,21,174,23251,1507
brick,0,807,432,192,3921,648,12,244,41,90,1829,6826,26,19655,346,1419,1682,838,226,387,30,22884,1144,812,18663,0,15,10567,123281,3876,16125,47417,1810,22348,2405,358,618,3380,2775,38,83,14699,28900,177,28,113,1168,2698,188,224,19033,1551
brighten,0,10,2,3,46,1,0,11,0,0,51,443,0,269,5,141,32,11,0,4,3,96,6,264,211,0,0,61,680,21,11582,6,2,105,328,0,0,29,114,3,0,15,263,3,1,7,157,51875,10,4,289,37
